Full Name,Year,Type of Publication,Title,List of Coauthors,Num of Coauthors,Venue,CORE Rank
Wai Kin Adams Kong,2013,Journal Article,The Individuality of Relatively Permanent Pigmented or Vascular Skin Marks (RPPVSM) in Independently and Uniformly Distributed Patterns.,"['Arfika Nurhudatiana', 'Keyan Matinpour', 'Deborah Chon', 'Lisa Altieri', 'Siu-Yeung Cho', 'Noah Craft', 'Wai Kin Adams Kong']",7,IEEE Trans. Inf. Forensics Secur.,Unknown
Wai Kin Adams Kong,2013,Journal Article,Modeling IrisCode and Its Variants as Convex Polyhedral Cones and Its Security Implications.,['Wai Kin Adams Kong'],1,IEEE Trans. Image Process.,Unknown
Wai Kin Adams Kong,2013,Conference Paper,A fast point pattern matching algorithm for robust spatially addressable bead encoding.,"['Abhik Datta', 'Soumita Ghosh', 'Dieter Trau', 'Wai Kin Adams Kong']",4,BIBE,C
Wai Kin Adams Kong,2013,Conference Paper,Automated identification of Relatively Permanent Pigmented or Vascular Skin Marks (RPPVSM).,"['Arfika Nurhudatiana', 'Lisa Altieri', 'Noah Craft', 'Wai Kin Adams Kong']",4,ICASSP,B
Wai Kin Adams Kong,2013,Conference Paper,Restoring blood vessel patterns from JPEG compressed skin images for forensic analysis.,"['Xiaojie Li', 'Wai Kin Adams Kong']",2,WIFS,Unknown
Wai Kin Adams Kong,2013,Book Chapter,An Introduction to the IrisCode Theory.,"['David Zhang', 'Mohamed Kamel', 'Wai Kin Adams Kong']",3,Handbook of Iris Recognition,Unknown
Wai Kin Adams Kong,2012,Journal Article,IrisCode Decompression Based on the Dependence between Its Bit Pairs.,['Wai Kin Adams Kong'],1,IEEE Trans. Pattern Anal. Mach. Intell.,Unknown
Wai Kin Adams Kong,2012,Conference Paper,Matching vein patterns from color images for forensic investigation.,"['Hengyi Zhang', 'Chaoying Tang', 'Noah Craft', 'Wai Kin Adams Kong']",4,BTAS,Unknown
Wai Kin Adams Kong,2012,Conference Paper,Visualizing vein patterns from color skin images based on image mapping for forensics analysis.,"['Chaoying Tang', 'Hengyi Zhang', 'Noah Craft', 'Wai Kin Adams Kong']",4,ICPR,B
Wai Kin Adams Kong,2011,Journal Article,Using a Knowledge-Based Approach to Remove Blocking Artifacts in Skin Images for Forensic Analysis.,"['Chaoying Tang', 'Noah Craft', 'Wai Kin Adams Kong']",3,IEEE Trans. Inf. Forensics Secur.,Unknown
Wai Kin Adams Kong,2011,Conference Paper,Uncovering vein patterns from color skin images for forensic analysis.,"['Chaoying Tang', 'Noah Craft', 'Wai Kin Adams Kong']",3,CVPR,A*
Wai Kin Adams Kong,2011,Conference Paper,A knowledge-based algorithm to remove blocking artifacts in skin images for forensic analysis.,"['Chaoying Tang', 'Noah Craft', 'Wai Kin Adams Kong']",3,ICASSP,B
Wai Kin Adams Kong,2011,Conference Paper,Fundamental statistics of relatively permanent pigmented or vascular skin marks for criminal and victim identification.,"['Arfika Nurhudatiana', 'Keyan Matinpour', 'Siu-Yeung Cho', 'Noah Craft', 'Wai Kin Adams Kong']",5,IJCB,B
Wai Kin Adams Kong,2010,Journal Article,An Analysis of IrisCode.,"['David Zhang', 'Mohamed S. Kamel', 'Wai Kin Adams Kong']",3,IEEE Trans. Image Process.,Unknown
Wai Kin Adams Kong,2010,Conference Paper,An alternative Gabor filtering scheme.,['Wai Kin Adams Kong'],1,ICIP,B
Wai Kin Adams Kong,2009,Journal Article,A survey of palmprint recognition.,"['David Dapeng Zhang', 'Mohamed S. Kamel', 'Wai Kin Adams Kong']",3,Pattern Recognit.,Unknown
Wai Kin Adams Kong,2009,Conference Paper,An Analysis of Gabor Detection.,['Wai Kin Adams Kong'],1,ICIAR,C
Wai Kin Adams Kong,2008,Journal Article,Three measures for secure palmprint identification.,"['David Zhang', 'Mohamed Kamel', 'Wai Kin Adams Kong']",3,Pattern Recognit.,Unknown
Wai Kin Adams Kong,2008,Conference Paper,An evaluation of Gabor orientation as a feature for face recognition.,['Wai Kin Adams Kong'],1,ICPR,B
Wai Kin Adams Kong,2007,Book,Palmprint Identification Based on Generalization of IrisCode.,['Wai Kin Adams Kong'],1,UNK,Unknown
Wai Kin Adams Kong,2007,Book Chapter,Palmprint Identification by Fused Wavelet Characteristics.,"['Guangming Lu', 'David Zhang', 'Qingmin Liao', 'Wai Kin Adams Kong']",4,Image Pattern Recognition,Unknown
Wai Kin Adams Kong,2006,Journal Article,Palmprint identification using feature-level fusion.,"['David Zhang', 'Mohamed Kamel', 'Wai Kin Adams Kong']",3,Pattern Recognit.,Unknown
Wai Kin Adams Kong,2006,Journal Article,An analysis of BioHashing and its variants.,"['King Hong Cheung', 'David Zhang', 'Mohamed S. Kamel', 'Jane You', 'Wai Kin Adams Kong']",5,Pattern Recognit.,Unknown
Wai Kin Adams Kong,2006,Journal Article,A study of identical twins' palmprints for personal verification.,"['David Zhang', 'Guangming Lu', 'Wai Kin Adams Kong']",3,Pattern Recognit.,Unknown
Wai Kin Adams Kong,2006,Journal Article,Analysis of Brute-Force Break-Ins of a Palmprint Authentication System.,"['David Zhang', 'Mohamed Kamel', 'Wai Kin Adams Kong']",3,IEEE Trans. Syst. Man Cybern. Part B,Unknown
Wai Kin Adams Kong,2006,Conference Paper,Revealing the Secret of FaceHashing.,"['King Hong Cheung', 'David Zhang', 'Mohamed Kamel', 'Jane You', 'Wai Kin Adams Kong']",5,ICB,Unknown
Wai Kin Adams Kong,2006,Conference Paper,A Study of Identical Twins' Palmprints for Personal Authentication.,"['David Zhang', 'Guangming Lu', 'Wai Kin Adams Kong']",3,ICB,Unknown
Wai Kin Adams Kong,2006,Conference Paper,An Anatomy of IrisCode for Precise Phase Representation.,"['David Zhang', 'Mohamed Kamel', 'Wai Kin Adams Kong']",3,ICPR (4),Unknown
Wai Kin Adams Kong,2006,Conference Paper,Does EigenPalm work? A System and Evaluation Perspective.,"['King Hong Cheung', 'David Zhang', 'Mohamed Kamel', 'Jane You', 'Wai Kin Adams Kong']",5,ICPR (4),Unknown
Wai Kin Adams Kong,2005,Journal Article,Online Palmprint Identification System for Civil Applications.,"['David Zhang', 'Guangming Lu', 'Michael Wong', 'Wai Kin Adams Kong']",4,J. Comput. Sci. Technol.,Unknown
Wai Kin Adams Kong,2005,Conference Paper,A Study of Brute-Force Break-ins of a Palmprint Verification System.,"['David Zhang', 'Mohamed Kamel', 'Wai Kin Adams Kong']",3,AVBPA,Unknown
Wai Kin Adams Kong,2005,Conference Paper,An Analysis on Invertibility of Cancelable Biometrics based on BioHashing.,"['King Hong Cheung', 'Jane You', 'David Zhang', 'Wai Kin Adams Kong']",4,CISST,C
Wai Kin Adams Kong,2005,Conference Paper,An Analysis on Accuracy of Cancelable Biometrics Based on BioHashing.,"['King Hong Cheung', 'David Zhang', 'Mohamed Kamel', 'Jane You', 'Ho-Wang Lam', 'Wai Kin Adams Kong']",6,KES (3),Unknown
Wai Kin Adams Kong,2005,Conference Paper,A Novel Personal Authentication System Using Palmprint Technology.,"['David Zhang', 'Guangming Lu', 'Michael Wong', 'Wai Kin Adams Kong']",4,PReMI,Unknown
Wai Kin Adams Kong,2005,Conference Paper,A new approach to appearance-based face recognition.,"['King Hong Cheung', 'Jane You', 'Qin Li', 'David Zhang', 'Prabir Bhattacharya', 'Wai Kin Adams Kong']",6,SMC,B
Wai Kin Adams Kong,2004,Journal Article,On hierarchical palmprint coding with multiple features for personal identification in large databases.,"['Jane You', 'David Zhang', 'King Hong Cheung', 'Wai Kin Adams Kong']",4,IEEE Trans. Circuits Syst. Video Technol.,Unknown
Wai Kin Adams Kong,2004,Conference Paper,Palmprint Authentication System for Civil Applications.,"['David Zhang', 'Guangming Lu', 'Michael Wong', 'Wai Kin Adams Kong']",4,ECCV Workshop BioAW,Unknown
Wai Kin Adams Kong,2004,Conference Paper,A New Approach to Personal Identification in Large Databases by Hierarchical Palmprint Coding with Multi-features.,"['Jane You', 'David Zhang', 'King Hong Cheung', 'Wai Kin Adams Kong']",4,ICBA,Unknown
Wai Kin Adams Kong,2004,Conference Paper,Feature-Level Fusion for Effective Palmprint Authentication.,"['David Zhang', 'Wai Kin Adams Kong']",2,ICBA,Unknown
Wai Kin Adams Kong,2004,Conference Paper,A study of aggregated 2D Gabor features on appearance-based face recognition.,"['King Hong Cheung', 'Jane You', 'David Zhang', 'Wai Kin Adams Kong']",4,ICIG,National: China
Wai Kin Adams Kong,2004,Conference Paper,Competitive Coding Scheme for Palmprint Verification.,"['David Zhang', 'Wai Kin Adams Kong']",2,ICPR (1),Unknown
Wai Kin Adams Kong,2004,Conference Paper,"Palmprint Authentication Technologies, Systems and Applications.","['David Zhang', 'Guangming Lu', 'Michael Wong', 'Wai Kin Adams Kong']",4,SINOBIOMETRICS,Unknown
Wai Kin Adams Kong,2003,Journal Article,Detecting Eyelash and Reflection for Accurate Iris Segmentation.,"['David Zhang', 'Wai Kin Adams Kong']",2,Int. J. Pattern Recognit. Artif. Intell.,Unknown
Wai Kin Adams Kong,2003,Journal Article,Online Palmprint Identification.,"['David Zhang', 'Jane You', 'Michael Wong', 'Wai Kin Adams Kong']",4,IEEE Trans. Pattern Anal. Mach. Intell.,Unknown
Wai Kin Adams Kong,2003,Journal Article,Palmprint feature extraction using 2-D Gabor filters.,"['David Zhang', 'Wenxin Li', 'Wai Kin Adams Kong']",3,Pattern Recognit.,Unknown
Wai Kin Adams Kong,2003,Conference Paper,An Integration of Principal Component Analysis and Self-Organizing Map for Effective Palmprint Retrieval.,"['King Hong Cheung', 'Jane You', 'David Zhang', 'Wai Kin Adams Kong']",4,CAINE,C
Wai Kin Adams Kong,2003,Conference Paper,On Hierarchical Palmprint Coding with Multi-Features for Personal Identification in Large Databases.,"['Jane You', 'David Zhang', 'King Hong Cheung', 'Wai Kin Adams Kong']",4,CAINE,C
Wai Kin Adams Kong,2003,Conference Paper,On Effective Palmprint Retrieval for Personal Identification.,"['King Hong Cheung', 'Jane You', 'David Zhang', 'Wai Kin Adams Kong']",4,CISST,C
Wai Kin Adams Kong,2003,Conference Paper,A New Approach to Personal Identification Via Hierarchical Palmprint Coding.,"['Jane You', 'David Zhang', 'King Hong Cheung', 'Wai Kin Adams Kong']",4,CISST,C
Wai Kin Adams Kong,2002,Conference Paper,Palmprint Texture Analysis Based on Low-Resolution Images for Personal Authentication.,"['David Zhang', 'Wai Kin Adams Kong']",2,ICPR (3),Unknown
Luu Anh Tuan,2023,Journal Article,A brief survey on recent advances in coreference resolution.,"['Ruicheng Liu', 'Rui Mao', 'Erik Cambria', 'Luu Anh Tuan']",4,Artif. Intell. Rev.,Unknown
Luu Anh Tuan,2023,Journal Article,A contrastive learning framework for Event Detection via semantic type prototype representation modelling.,"['Anran Hao', 'Jian Su', 'Hui Siu Cheung', 'Luu Anh Tuan']",4,Neurocomputing,Unknown
Luu Anh Tuan,2023,Journal Article,Benchmarking Graph Neural Networks.,"['Vijay Prakash Dwivedi', 'Chaitanya K. Joshi', 'Thomas Laurent', 'Yoshua Bengio', 'Xavier Bresson', 'Luu Anh Tuan']",6,J. Mach. Learn. Res.,Unknown
Luu Anh Tuan,2023,Conference Paper,InfoCTM: A Mutual Information Maximization Perspective of Cross-Lingual Topic Modeling.,"['Xiaobao Wu', 'Xinshuai Dong', 'Thong Nguyen', 'Chaoqun Liu', 'Liangming Pan', 'Luu Anh Tuan']",6,AAAI,B
Luu Anh Tuan,2023,Conference Paper,Gradient-Boosted Decision Tree for Listwise Context Model in Multimodal Review Helpfulness Prediction.,"['Thong Nguyen', 'Xiaobao Wu', 'Xinshuai Dong', 'Cong-Duy Nguyen', 'Zhen Hai', 'Lidong Bing', 'Luu Anh Tuan']",7,ACL (Findings),Unknown
Luu Anh Tuan,2023,Conference Paper,Zero-Shot Text Classification via Self-Supervised Tuning.,"['Chaoqun Liu', 'Wenxuan Zhang', 'Guizhen Chen', 'Xiaobao Wu', 'Chip-Hong Chang', 'Lidong Bing', 'Luu Anh Tuan']",7,ACL (Findings),Unknown
Luu Anh Tuan,2023,Conference Paper,Fact-Checking Complex Claims with Program-Guided Reasoning.,"['Liangming Pan', 'Xiaobao Wu', 'Xinyuan Lu', 'William Yang Wang', 'Min-Yen Kan', 'Preslav Nakov', 'Luu Anh Tuan']",7,ACL (1),Unknown
Luu Anh Tuan,2023,Conference Paper,Jointprop: Joint Semi-supervised Learning for Entity and Relation Extraction with Heterogeneous Graph-based Propagation.,"['Yandan Zheng', 'Anran Hao', 'Luu Anh Tuan']",3,ACL (1),Unknown
Luu Anh Tuan,2023,Conference Paper,Unlocking the Potential of User Feedback: Leveraging Large Language Model as User Simulators to Enhance Dialogue System.,"['Zhiyuan Hu', 'Yue Feng', 'Bryan Hooi', 'Aldo Lipani', 'Luu Anh Tuan']",5,CIKM,A
Luu Anh Tuan,2023,Conference Paper,Using Punctuation as an Adversarial Attack on Deep Learning-Based NLP Systems: An Empirical Study.,"['Brian Formento', 'Chuan-Sheng Foo', 'See-Kiong Ng', 'Luu Anh Tuan']",4,EACL (Findings),Unknown
Luu Anh Tuan,2023,Conference Paper,Effective Neural Topic Modeling with Embedding Clustering Regularization.,"['Xiaobao Wu', 'Xinshuai Dong', 'Thong Thanh Nguyen', 'Luu Anh Tuan']",4,ICML,A*
Luu Anh Tuan,2023,Conference Paper,Expand BERT Representation with Visual Information via Grounded Language Learning with Multimodal Partial Alignment.,"['Cong-Duy Nguyen', 'The-Anh Vu-Le', 'Thong Nguyen', 'Tho Quan', 'Luu Anh Tuan']",5,ACM Multimedia,A*
Luu Anh Tuan,2023,Conference Paper,Knowledge Bases and Language Models: Complementing Forces.,"['Fabian M. Suchanek', 'Luu Anh Tuan']",2,RuleML+RR,Unknown
Luu Anh Tuan,2023,Informal Publication,Towards Interpretable Federated Learning.,"['Anran Li', 'Rui Liu', 'Ming Hu', 'Yu Han']",4,CoRR,Unknown
Luu Anh Tuan,2023,Informal Publication,InfoCTM: A Mutual Information Maximization Perspective of Cross-Lingual Topic Modeling.,"['Xiaobao Wu', 'Xinshuai Dong', 'Thong Nguyen', 'Chaoqun Liu', 'Liangming Pan', 'Luu Anh Tuan']",6,CoRR,Unknown
Luu Anh Tuan,2023,Informal Publication,Prompt as Triggers for Backdoor Attack: Examining the Vulnerability in Language Models.,"['Shuai Zhao', 'Jinming Wen', 'Junbo Zhao', 'Jie Fu']",4,CoRR,Unknown
